"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 02:52:52 UTC 2025","Fri Jul 11 02:52:53 UTC 2025","617","Surefire suite","Checkout Test","Checkout Test","com.allwyn.swaglabstaf.CheckoutTest","checkoutTest","Checkout Test","Verifies that the Checkout button click leads to the Checkout Overview page"
"passed","Fri Jul 11 02:52:38 UTC 2025","Fri Jul 11 02:52:38 UTC 2025","204","Surefire suite","Checkout finish Test","Checkout finish Test","com.allwyn.swaglabstaf.CheckoutFinishTest","backHomeButtonTest","'Back Home' button Test","Verifies that the 'Back Home' button takes the user to the Products page"
"passed","Fri Jul 11 02:53:18 UTC 2025","Fri Jul 11 02:53:18 UTC 2025","480","Surefire suite","Login Tests","Login Tests","com.allwyn.swaglabstaf.LoginTest","lockedUserTest","Locked user Test","Verifies that a locked out user cannot log in"
"passed","Fri Jul 11 02:53:42 UTC 2025","Fri Jul 11 02:53:42 UTC 2025","51","Surefire suite","Checkout overview Test","Checkout overview Test","com.allwyn.swaglabstaf.CheckoutOverviewTest","totalPriceTest","Total price Test","Verifies that the total price is calculated correctly"
"passed","Fri Jul 11 02:52:42 UTC 2025","Fri Jul 11 02:52:43 UTC 2025","658","Surefire suite","Checkout cart Test","Checkout cart Test","com.allwyn.swaglabstaf.ShoppingCartTest","addToCartTest","Add to cart Test","Verifies that a user can add products to the checkout card"
"passed","Fri Jul 11 02:53:32 UTC 2025","Fri Jul 11 02:53:32 UTC 2025","428","Surefire suite","Burger menu Test","Burger menu Test","com.allwyn.swaglabstaf.BurgerMenuTest","menuItemsTest","Menu items Test","Verifies that the list of menu items of 4 predefined elements: All Items, About, Logout, Reset App State"
"passed","Fri Jul 11 02:52:40 UTC 2025","Fri Jul 11 02:52:41 UTC 2025","867","Surefire suite","Checkout finish Test","Checkout finish Test","com.allwyn.swaglabstaf.CheckoutFinishTest","finishPageTest","Finish page Test","Verifies that the information regarding successful order is displayed"
"passed","Fri Jul 11 02:53:13 UTC 2025","Fri Jul 11 02:53:13 UTC 2025","83","Surefire suite","Products Test","Products Test","com.allwyn.swaglabstaf.ProductsTest","productSortingTest","Product sorting Test","Verifies that the products get sorted according to the selected option in the sorting select"
"passed","Fri Jul 11 02:53:12 UTC 2025","Fri Jul 11 02:53:12 UTC 2025","90","Surefire suite","Products Test","Products Test","com.allwyn.swaglabstaf.ProductsTest","productSortingTest","Product sorting Test","Verifies that the products get sorted according to the selected option in the sorting select"
"passed","Fri Jul 11 02:52:58 UTC 2025","Fri Jul 11 02:52:58 UTC 2025","586","Surefire suite","Checkout Test","Checkout Test","com.allwyn.swaglabstaf.CheckoutTest","missingUserInfoTest","Missing user information Test","Verifies that the user receives an error in case of any user information field is blank or invalid"
